search.id,University,Department,Position,Name,ecoevo,sex,PhD.taiwan,PhD.country,PhD.university,PhD.uni.rank,PhD,Assistant.since,full.professor,time.to.assistant,time.to.full,Paper.number.before,Paper.number.after,Associate.since,Professor.since,Year,Papers,Citations,Years,Cites_Year,Cites_Paper,Cites_Author,Papers_Author,Authors_Paper,h_index_before,h_index_after,h_index_diff,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index,QueryDate,Cites_Author_Year,hI_annual,h_coverage,g_coverage,star_count,year_first,year_last,ECC,acc1,acc2,acc5,acc20,hA,beforeafter,stage
135,National Sun Yat-sen University,Department of Marine Biotechnology and Resources,Professor,Wen-Tseng_Lo,1,m,non-Taiwan,USA,Texas A&M University,168,1995,1995,2005,0,10,NA,NA,NA,NA, 1991 to 1995,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12/20/21 15:36,0,0,0,0,0,0,0,0,0,0,0,0,0,before,assistant
136,National Taiwan University,Institute of Ecology and Evolutionary Biology,Professor,Wen-Yuan_Kao,1,f,non-Taiwan,USA,University of Maryland; College Park,158,1992,1994,2006,2,12,NA,NA,NA,NA, 1990 to 1994,4,78,29,2.69,19.5,35.83,1.83,2.25,4,7,3,4,2,1.78,3,2.75,1.66,1.26,7.87,1.83,12/5/21 2:52,1.23,0.1,100,100,0,1992,1994,78,1,0,0,0,1,before,assistant
137,National Cheng Kung University,Department of Life Sciences,Professor,Ya-Fu_Lee,1,m,non-Taiwan,USA,The University of Tennessee,545,1999,2002,2010,3,8,NA,NA,NA,NA, 1998 to 2002,3,193,20,9.65,64.33,96.5,1.5,2,3,7,4,3,3,1.5,3,9.85,3.14,4.92,13.56,1.5,12/2/21 2:11,4.82,0.15,100,100,0,2001,2002,193,3,3,0,0,2,before,assistant
138,Academia Sinica,Institute of Cellular and Organismic Biology,Associate Professor,Ya-Hui_Chou,1,f,Taiwan,Taiwan,National Defense Medical Center,,2003,2011,NA,8,NA,NA,NA,NA,NA,NA,4,554,14,39.57,138.5,110.42,0.82,5,4,0,-4,4,4,0.8,4,48.13,6.94,9.57,23.19,0.82,12/13/21 3:57,7.88,0.29,100,100,2,2007,2011,554,4,4,3,1,3,before,assistant
139,National Chung Hsing University,Department of Forestry,Professor,Yen-Hsueh_Tseng,1,m,Taiwan,Taiwan,National Taiwan University,68,1990,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,assistant
140,National Yang Ming Chiao Tung University,Department of Biological Science and Technology,Associate Professor,Yeong-Shin_Lin_,1,m,Taiwan,Taiwan,National Yang Ming Chiao Tung University,268,2005,2007,NA,2,NA,NA,NA,NA,NA, 2003 to 2007,7,321,17,18.88,45.86,81.15,1.82,4,7,5,-2,7,5,1.75,6,21.2,4.6,5.36,16.49,1.82,12/15/21 14:14,4.77,0.35,100,100,0,2004,2007,321,6,4,2,0,3,before,assistant
141,National Taiwan University,Institute of Oceanography,Associate Professor,Yi-Jay_Chang,1,m,Taiwan,Taiwan,National Taiwan University,68,2011,2016,NA,5,NA,NA,NA,NA,NA, 2017 to 2021,10,89,4,22.25,8.9,20.27,2.47,4.3,5,NA,,9,8,1.25,2,40.25,6.34,10.06,7.21,1.93,12/15/21 4:11,5.06,0.5,86.5,97.8,1,2017,2021,89,10,8,3,0,3,before,assistant
142,Academia Sinica,Biodiversity Research Center,Associate Professor,Yin-Ru_Chiang,1,m,non-Taiwan,Germany,University of Freiburg,172,2007,2012,NA,5,NA,NA,NA,NA,NA, 2008 to 2012,6,258,13,19.85,43,53.15,1.25,4.83,6,11,5,6,6,1.24,5,21.95,4.69,4.53,14.9,1.25,11/28/21 22:42,4.08,0.38,100,100,0,2008,2012,258,6,5,1,0,3,before,assistant
143,National Taiwan University,Department of Bioenvironmental Systems Engineering,Assistant Professor,Yo-Jin_Shiau,1,m,non-Taiwan,USA,North Carolina State University,300,2014,2019,NA,5,NA,NA,NA,NA,NA, 2015 to 2019,13,176,5,35.2,13.54,38.95,2.93,4.77,9,NA,,13,9,1.93,4,50.2,7.09,10.92,8.94,2.48,12/18/21 16:31,7.79,0.8,91.5,100,1,2016,2019,176,11,10,4,0,5,before,assistant
144,Academia Sinica,Biodiversity Research Center,Associate Professor,Yoko_Nozawa,1,m,non-Taiwan,Japan,Kyushu University,137,2006,2009,NA,3,NA,NA,NA,NA,NA, 2005 to 2009,6,400,16,25,66.67,222.33,3.17,2.17,6,14,8,6,6,2.77,6,28.83,5.37,16.27,19.08,3.17,12/1/21 3:06,13.89,0.38,100,100,0,2005,2008,400,6,5,3,0,3,before,assistant
145,National Sun Yat-sen University,Department of Biological Sciences,Professor,Yu-Chung_Chiang,1,m,Taiwan,Taiwan,National Taiwan Normal University,334,2002,2002,2014,0,12,NA,NA,NA,NA, 1998 to 2002,8,370,23,16.09,46.25,84.42,2.18,3.88,7,7,0,8,4,1.75,5,18.33,4.28,4.16,17.83,2.18,12/8/21 2:53,3.67,0.22,99.2,100,0,1998,2002,370,4,2,2,0,2,before,assistant
146,National Taiwan Normal University,Department of Life Science,Professor,Yu-Feng_Hsu,1,m,non-Taiwan,USA,University of California; Berkeley ,32,1995,1995,2007,0,12,NA,NA,NA,NA, 1991 to 1995,2,10,29,0.34,5,5,1,2,1,1,0,2,1,0.5,1,0.37,0.61,0.19,3,0.5,11/27/21 22:21,0.17,0.03,100,100,0,1992,1994,10,0,0,0,0,0,before,assistant
147,National Chung Hsing University,Department of Life Sciences,Assistant Professor,Yu-Hsin_Tseng,1,f,Taiwan,Taiwan,National Taiwan University,68,2015,2021,NA,6,NA,NA,NA,NA,NA, 2017 to 2021,13,75,4,18.75,5.77,15.98,2.69,5.15,5,NA,,8,7,0.93,2,36.83,6.07,7.95,5.48,2.02,12/7/21 4:36,3.99,0.5,73.3,92,0,2017,2021,75,10,7,3,0,4,before,assistant
148,Academia Sinica,Institute of Plant and Microbial Biology,Professor,Yu-Ming_Ju,1,m,non-Taiwan,USA,Washington State University,427,1995,1999,2008,4,9,NA,NA,NA,NA, 1995 to 1999,25,1099,26,42.27,43.96,493.17,9.92,2.76,16,11,-5,25,6,5.95,10,46.14,6.79,20.78,27.78,8.83,12/13/21 1:51,18.96,0.38,93.5,100,0,1995,1999,1099,13,6,2,0,4,before,assistant
149,National Taiwan University,Department of Animal Science and Technology,Professor,Yu-Ten_Ju,1,m,Taiwan,Taiwan,National Yang Ming Chiao Tung University,268,1999,2002,2015,3,13,NA,NA,NA,NA, 1998 to 2002,2,137,23,5.96,68.5,26.57,0.37,5.5,2,4,2,2,2,0.36,2,6.01,2.45,1.16,11.53,0.37,12/18/21 22:04,1.15,0.09,100,100,0,1998,1999,137,2,1,0,0,1,before,assistant
150,Academia Sinica,Institute of Cellular and Organismic Biology,Assistant Professor,Yung-Che_Tseng,1,m,Taiwan,Taiwan,National Taiwan University,68,2008,2015,NA,7,NA,NA,NA,NA,NA, 2011 to 2015,21,686,10,68.6,32.67,143.2,4.48,4.81,14,8,-6,21,10,2.93,7,86.26,9.29,17.94,20.98,4.08,12/13/21 4:09,14.32,0.7,92.7,100,2,2011,2015,686,18,15,7,0,5,before,assistant
151,National Taiwan Normal University,Department of Life Science,Professor,Yuying_Hsu,1,f,non-Taiwan,USA,Syracuse University,675,1997,2002,2010,5,8,NA,NA,NA,NA, 1998 to 2002,4,834,22,37.91,208.5,404.17,1.83,2.25,4,8,4,4,4,1.78,4,40.04,6.33,19.41,28.6,1.83,11/28/21 2:08,18.37,0.18,100,100,2,1999,2001,834,4,4,3,0,4,before,assistant
1,Academia Sinica,Biodiversity Research Center,Professor,Benny_Kwok_Kan_Chan,1,m,non-Taiwan,China,The University of Hong Kong,22,2000,2005,2016,5,11,NA,NA,NA,NA, 2012 to 2016,10,176,9,19.56,17.6,43.78,2.62,4,9,7,-2,10,7,2.19,4,27.67,5.26,6.86,9.75,2.28,11/28/21 17:22,4.86,0.44,100,100,0,2012,2016,176,9,7,1,0,3,before,full
2,National Taiwan University,Department of Forestry and Resource Conservation,Professor,Biing_T._Guan,1,m,non-Taiwan,USA,University of Illinois at Urbana-Champaign,82,1991,1995,2005,4,10,NA,NA,NA,NA, 2001 to 2005,3,16,20,0.8,5.33,6.67,1.17,2.67,3,5,2,3,1,1.13,1,0.87,0.93,0.36,2.65,1.17,12/17/21 1:12,0.33,0.05,100,100,0,2001,2003,16,0,0,0,0,0,before,full
3,National Cheng Kung University,Institute of Tropical Plant Sciences and Microbiology,Assistant Professor,Chao-Li_Huang,1,m,Taiwan,Taiwan,National Cheng Kung University,252,2015,2017,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
4,Academia Sinica,Biodiversity Research Center,Professor,Chaolun_Allen_Chen,1,m,non-Taiwan,Australia,James Cook University,424,1995,1997,2010,2,13,NA,NA,NA,NA, 2006 to 2010,32,1433,15,95.53,44.78,309.08,7.29,4.66,20,24,4,32,12,4.49,11,110.97,10.53,23.97,30.4,6,12/1/21 0:38,20.6,0.73,92.4,100,1,2006,2010,1433,26,18,8,1,6,before,full
5,National Taiwan University,Department of Life Science,Professor,Chau-Ti_Ting,1,f,Taiwan,Taiwan,National Taiwan University,68,1991,2000,2020,9,20,NA,NA,NA,NA, 2016 to 2020,7,36,5,7.2,5.14,7.11,1.46,5,4,NA,,6,5,0.8,2,15.5,3.94,3.35,4.24,1.04,11/21/21 1:39,1.42,0.4,94.4,100,0,2016,2020,36,5,5,1,0,3,before,full
6,National Tsing Hua University,Department of Life Science,Assistant Professor,Chen_Siang_Ng,1,m,non-Taiwan,USA,University of California; Davis,108,2009,2016,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
7,National Chung Hsing University,Department of Horticulture,Professor,Chen-Fa_Wu,1,m,Taiwan,Taiwan,National Taipei University,1201,2005,2007,2017,2,10,NA,NA,NA,NA, 2013 to 2017,8,133,8,16.63,16.63,37.67,3.25,2.88,5,NA,,8,4,1.56,3,19.4,4.4,5.51,10.1,2.25,12/20/21 17:28,4.7,0.38,95.5,100,1,2013,2017,133,4,2,1,0,2,before,full
8,National Taiwan University,Institute of Ecology and Evolutionary Biology,Associate Professor,Cheng-Ruei_Lee,1,m,non-Taiwan,USA,Duke University,52,2013,2016,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
9,National Taiwan University,Department of Life Science,Assistant Professor,Cheng-Hsiu_Tsai,1,m,non-Taiwan,NZ,University of Otago,194,2015,2018,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
10,National Chung Hsing University,Department of Soil and Environmental Sciences,Associate Professor,Cheng-Hua_Huang,1,m,non-Taiwan,USA,University of Florida,173,2009,2014,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
11,National Taiwan Normal University,Department of Life Science,Associate Professor,Chi-Chien_Kuo,1,m,non-Taiwan,USA,University of California; Davis,108,2010,2014,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
12,National Taiwan University,Department of Entomology,Associate Professor,Chi-Wei_Tsai,1,m,non-Taiwan,USA,The Ohio State University,120,2006,2009,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
13,National Chung Hsing University,Department of Plant Pathology,Associate Professor,Chi-Yu_Chen,1,m,Taiwan,Taiwan,National Chung Hsing University,675,2003,2005,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
14,National Chung Hsing University,Department of Plant Pathology,Assistant Professor,Chia-Ching_Chu,1,m,non-Taiwan,USA,University of Illinois at Urbana-Champaign,82,2014,2017,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
15,National Sun Yat-sen University,Department of Biological Sciences,Assistant Professor,Chia-Hao_Chang-Yang,1,m,Taiwan,Taiwan,National Taiwan University,68,2013,2018,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
17,National Taiwan University,Institute of Fisheries Science,Associate Professor,Chia-Ying_Ko,1,f,Taiwan,Taiwan,National Taiwan University,68,2009,2016,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
18,Academia Sinica,Biodiversity Research Center,Assistant Professor,Chien-Hsiang_Lin,1,m,non-Taiwan,Italy,University of Bari,900,2017,2020,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
19,National Taiwan University,Department of Life Science,Assistant Professor,Chih-Han_Chang,1,m,non-Taiwan,USA,Johns Hopkins University,25,2015,2019,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
20,National Taiwan University,Institute of Oceanography,Professor,Chih-Hao_Hsieh,1,m,non-Taiwan,USA,University of California; San Diego,48,2006,2007,2014,1,7,NA,NA,NA,NA, 2010 to 2014,30,2450,11,222.73,81.67,470.23,6.51,4.87,19,16,-3,30,14,3.72,9,277.56,16.66,53.16,44.54,5.82,12/11/21 3:00,42.74,0.82,95.7,100,4,2010,2014,2450,25,20,10,2,7,before,full
21,Academia Sinica,Institute of Plant and Microbial Biology,Associate Professor,Chih-Horng_Kuo,1,m,non-Taiwan,USA,The University of Georgia,545,2008,2010,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
22,National Taiwan University,Institute of Oceanography,Associate Professor,Chih-Lin_Wei,1,m,non-Taiwan,USA,Texas A&M University,168,2011,2014,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
23,Academia Sinica,Biodiversity Research Center,Associate Professor,Chih-Ming_Hung,1,m,non-Taiwan,USA,University of Minnesota,186,2012,2016,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
24,Academia Sinica,Biodiversity Research Center,Professor,Chih-Yu_Chiu,1,m,non-Taiwan,Japan,University of Tsukuba,285,1988,1988,2003,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
26,National Chung Hsing University,Department of Forestry,Professor,Chiung-Pin_Liu,1,f,Taiwan,Taiwan,National Chung Hsing University,675,1999,NA,2011,NA,NA,NA,NA,NA,NA, 2007 to 2011,7,240,14,17.14,34.29,68.5,2.16,3.86,5,1,-4,7,4,1.25,4,22.51,4.74,6.28,14.42,2.17,12/31/21 3:16,4.89,0.29,97.1,100,1,2007,2011,240,4,4,2,0,2,before,full
27,Academia Sinica,Institute of Plant and Microbial Biology,Assistant Professor,Chuan_Ku,1,m,non-Taiwan,Germany,University of Düsseldorf,775,2016,2019,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
28,National Tsing Hua University,Department of Life Science,Professor,Chuan-Chin_Chiao,1,m,non-Taiwan,USA,University of Maryland; Baltimore County,775,2000,2002,2012,2,10,NA,NA,NA,NA, 2008 to 2012,28,1103,13,84.85,39.39,276.85,8.8,3.64,15,12,-3,28,11,3.57,10,97.09,9.85,24.25,28.2,6.27,11/26/21 4:46,21.29,0.77,92.5,100,4,2008,2012,1103,20,12,5,0,5,before,full
29,National Taiwan University,Institute of Ecology and Evolutionary Biology,Professor,Chuan-Kai_Ho,1,m,non-Taiwan,USA,University of Houston,725,2008,2011,2021,3,10,NA,NA,NA,NA, 2017 to 2021,5,21,4,5.25,4.2,5.21,1.34,4.2,3,NA,,4,4,0.82,2,9.25,3.04,2.09,3.32,0.87,12/4/21 2:55,1.3,0.5,95.2,100,0,2017,2021,21,4,1,1,0,1,before,full
30,National Chung Hsing University,Department of Life Sciences,Assistant Professor,Chuan-Wen_Ho,1,f,Taiwan,Taiwan,National Cheng Kung University,252,2013,2019,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
31,National Taiwan University,Department of Entomology,Professor,Chun-Che_Chang,1,m,non-Taiwan,UK,University of Cambridge,3,2001,2003,2014,2,11,NA,NA,NA,NA, 2010 to 2014,4,68,11,6.18,17,12.95,0.82,5,4,5,1,4,3,0.8,2,7.47,2.73,1.46,7.21,0.82,12/10/21 2:21,1.17,0.18,100,100,0,2010,2014,68,3,1,0,0,2,before,full
32,National Taiwan University,Department of Agronomy,Assistant Professor,Chun-Huo_Chiu,1,m,Taiwan,Taiwan,National Yang Ming Chiao Tung University,268,2010,2017,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
33,National Taiwan University,Department of Life Science,Professor,Chun-Neng_Wang,1,m,non-Taiwan,UK,University of Edinburgh,16,2003,2005,2019,2,14,NA,NA,NA,NA, 2015 to 2019,23,728,6,121.33,31.65,168.89,4.96,4.96,10,NA,,23,10,1.92,5,300.97,17.35,72.15,23.79,3.82,11/21/21 4:48,28.14,0.83,91.5,100,1,2015,2019,728,23,12,6,1,5,before,full
34,National Taiwan Normal University,Department of Life Science,Professor,Chung-Chi_Chen,1,m,non-Taiwan,USA,University of Maryland; Baltimore County,775,1998,2001,2008,3,7,NA,NA,NA,NA, 2004 to 2008,8,632,17,37.18,79,180.9,2.03,4.5,8,12,4,8,5,1.78,5,44.61,6.68,12.72,23.83,2.03,11/28/21 1:14,10.64,0.29,100,100,1,2004,2008,632,7,4,3,1,3,before,full
35,National Chung Hsing University,Department of Forestry,Assistant Professor,Chung-I_Chen,1,m,Taiwan,Taiwan,National Taiwan University,68,2016,2019,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
36,National Taiwan Normal University,Department of Life Science,Professor,Chung-Ping_Lin,1,m,non-Taiwan,USA,Cornell University,21,2003,2004,2011,1,7,NA,NA,NA,NA, 2007 to 2011,9,220,14,15.71,24.44,71.82,3.54,3.33,7,8,1,9,6,1.96,5,19.31,4.39,6.46,12.77,3.28,11/28/21 2:58,5.13,0.36,96.4,100,0,2007,2011,220,7,4,0,0,3,before,full
37,National Tsing Hua University,Department of Life Science,Professor,Chyng-Shyan_Tzeng,1,m,Taiwan,Taiwan,National Taiwan University,68,1991,1995,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
38,National Taiwan University,Institute of Ecology and Evolutionary Biology,Associate Professor,David_Zelený,1,m,non-Taiwan,Czech Republic,University of South Bohemia in Ceske Budejovice,NA,2008,2015,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
39,National Taiwan University,Department of Life Science,Associate Professor,Dian-Han_Kuo,1,m,non-Taiwan,USA,University of Texas at Austin,67,2004,2012,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
40,National Taiwan University,Department of Entomology,Professor,En-Cheng_Yang,1,m,non-Taiwan,Australia,The Australien National University,27,1994,1999,2010,5,11,NA,NA,NA,NA, 2006 to 2010,15,1046,15,69.73,69.73,262.48,4.17,4,13,12,-1,15,10,3.25,10,80.56,8.98,20.18,29.41,4.18,12/9/21 20:37,17.49,0.67,98.9,100,2,2006,2010,1046,13,12,3,1,4,before,full
41,National Taiwan University,Department of Forestry and Resource Conservation,Professor,Fang-Hua_Chu,1,f,Taiwan,Taiwan,National Chung Hsing University,675,1999,2003,2012,4,9,NA,NA,NA,NA, 2008 to 2012,22,464,13,35.69,21.09,107.57,5.8,4.14,11,13,2,21,7,2.37,5,44.36,6.66,10.3,17.03,4.18,12/17/21 4:20,8.27,0.38,88.6,99.8,1,2008,2012,464,11,7,2,0,4,before,full
42,National Chung Hsing University,Department of Soil and Environmental Sciences,Associate Professor,Fo-Ting_Shen,1,m,Taiwan,Taiwan,National Chung Hsing University,675,2006,2011,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
43,National Taiwan University,Department of Plant Pathology and Microbiology,Assistant Professor,Hiran_A._Ariyawansa,1,m,non-Taiwan,Thailand,Mae Fah Luang University,NA,2015,2017,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
44,National Taiwan University,Department of Life Science,Professor,Hon-Tsen_Yu,1,m,non-Taiwan,USA,University of California; Berkeley ,32,1992,1994,2013,2,19,NA,NA,NA,NA, 2009 to 2013,10,633,10,63.3,63.3,112.94,2.03,5.3,9,5,-4,10,6,1.76,4,65.14,8.07,11.69,23.32,2.03,11/21/21 4:19,11.29,0.4,98.7,100,1,2011,2013,633,9,5,2,1,4,before,full
45,National Chung Hsing University,Department of Entomology,Professor,Hou-Feng_Li,1,m,non-Taiwan,USA,University of Florida,173,2009,2013,2020,4,7,NA,NA,NA,NA, 2016 to 2020,24,207,5,41.4,8.63,47.13,6.1,4.25,7,NA,,13,10,1.48,3,65.27,8.08,14.9,10.2,3.62,12/12/21 22:46,9.42,0.6,73.9,90.8,1,2016,2020,207,19,15,3,0,4,before,full
46,National Chung Hsing University,Department of Forestry,Assistant Professor,Hsiang-Ling_Chen,1,f,non-Taiwan,USA,The University of Arizona,268,2014,2018,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
47,National Cheng Kung University,Department of Biotechnology and Bioindustry Sciences,Assistant Professor,Hsiao-Pei_Lu,1,f,Taiwan,Taiwan,National Taiwan University,68,2013,2019,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
48,National Taiwan University,Department of Forestry and Resource Conservation,Professor,Hsiao-Wei_Yuan,1,f,non-Taiwan,USA,Cornell University,21,1993,1994,2005,1,11,NA,NA,NA,NA, 2001 to 2005,6,127,17,7.47,21.17,33.42,1.65,3.83,6,11,5,6,3,1.57,4,7.85,2.8,2.06,9.54,1.65,12/16/21 20:22,1.96,0.24,100,100,0,2004,2005,127,3,1,0,0,1,before,full
49,National Taiwan University,Department of Life Science,Associate Professor,Hsin-Hung_Chou,1,m,non-Taiwan,USA,Harvard University,5,2009,2015,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
50,National Chung Hsing University,Department of Life Sciences,Professor,Hsing-Juh_Lin,1,m,non-Taiwan,USA,University of Rhode Island,1100,1994,1999,2006,5,7,NA,NA,NA,NA, 2002 to 2006,10,316,19,16.63,31.6,89.97,3.07,3.7,9,16,7,10,6,2.38,6,19,4.36,5.32,15.26,2.73,12/5/21 4:54,4.73,0.32,99.4,100,0,2002,2006,316,9,4,0,0,3,before,full
51,National Sun Yat-sen University,Department of Marine Biotechnology and Resources,Assistant Professor,Hsiu-Chin_Lin,1,f,non-Taiwan,USA,University of California; San Diego,48,2009,2014,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,before,full
