search.id,University,Department,Position,Name,ecoevo,sex,PhD.taiwan,PhD.country,PhD.university,PhD.uni.rank,PhD,Assistant.since,full.professor,time.to.assistant,time.to.full,Paper.number.before,Paper.number.after,Associate.since,Professor.since,Year,Papers,Citations,Years,Cites_Year,Cites_Paper,Cites_Author,Papers_Author,Authors_Paper,h_index_before,h_index_after,h_index_diff,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index,QueryDate,Cites_Author_Year,hI_annual,h_coverage,g_coverage,star_count,year_first,year_last,ECC,acc1,acc2,acc5,acc20,hA,beforeafter,stage
92,National Taiwan University,Department of Agricultural Chemistry,Associate Professor,Nai-Chun_LIN,1,f,non-Taiwan,USA,Cornell University,21,2004,2005,NA,1,NA,NA,NA,NA,NA,NA,3,824,19,43.37,274.67,269.92,1.08,3,3,4,1,3,3,1,3,44.78,6.69,14.91,28.55,1.08,12/31/21 3:11,14.2,0.16,100,100,2,2002,2005,824,3,3,3,0,3,before,assistant
93,National Chung Hsing University,Department of Life Sciences,Professor,Pan-Wen_Hsueh,1,m,non-Taiwan,USA,The University of Alabama,900,1992,1992,2003,0,11,NA,NA,NA,NA, 1988 to 1992,2,92,30,3.07,46,42,1.33,2,2,6,4,2,2,1,2,3.15,1.78,1.43,9.38,1.33,12/5/21 4:19,1.4,0.07,100,100,0,1991,1992,92,1,1,0,0,1,before,assistant
94,National Taiwan Normal University,Department of Life Science,Professor,Pei-Chun_Liao,1,m,Taiwan,Taiwan,National Taiwan Normal University,334,2007,2009,2017,2,8,NA,NA,NA,NA, 2005 to 2009,4,183,14,13.07,45.75,56.75,1.17,3.5,4,8,4,4,4,1.14,4,13.68,3.7,4.21,12.92,1.17,11/28/21 20:20,4.05,0.29,100,100,0,2007,2009,183,4,4,1,0,2,before,assistant
95,National Taiwan University,Institute of Ecology and Evolutionary Biology,Professor,Pei-Fen_Lee,1,m,non-Taiwan,USA,University of Michigan,23,1991,1992,2005,1,13,NA,NA,NA,NA, 1988 to 1992,2,7,29,0.24,3.5,1.75,0.5,4,1,3,2,2,0,0.25,1,0.24,0.49,0.06,2.45,0.25,12/4/21 1:39,0.06,0.03,100,100,0,1992,1992,7,0,0,0,0,0,before,assistant
96,National Taiwan Normal University,Department of Life Science,Professor,Pei-Jen_Lee_Shaner,1,f,non-Taiwan,USA,University of Virginia,226,2005,2009,2018,4,9,NA,NA,NA,NA, 2005 to 2009,3,36,15,2.4,12,14,1.67,2.33,3,6,3,3,2,1.29,3,2.56,1.6,0.99,5.2,1.67,11/28/21 21:06,0.93,0.2,100,100,0,2006,2007,36,2,0,0,0,1,before,assistant
97,National Taiwan University,Institute of Ecology and Evolutionary Biology,Assistant Professor,Po-Ju_Ke,1,m,non-Taiwan,USA,Stanford University,3,2019,2021,NA,2,NA,NA,NA,NA,NA, 2017 to 2021,14,356,4,89,25.43,119,4.51,3.64,7,NA,,14,8,2.04,5,133.42,11.55,48.58,17.41,2.45,12/5/21 3:46,29.75,1.25,98.9,100,5,2017,2021,356,10,8,6,3,6,before,assistant
98,National Chung Hsing University,Department of Life Sciences,Assistant Professor,Ren-Chung_Cheng,1,m,non-Taiwan,Republika Slovenija,University of Ljubljana,595,2016,2018,NA,2,NA,NA,NA,NA,NA, 2014 to 2018,14,280,7,40,20,86.42,4.2,3.79,9,NA,,14,8,2.31,5,48.98,7,14.56,13.11,3.95,12/7/21 4:13,12.34,0.71,90.4,100,0,2014,2017,280,12,8,5,0,5,before,assistant
99,National Sun Yat-sen University,Department of Biological Sciences,Assistant Professor,Romain_Richard,1,m,non-Taiwan,Canada,University of Calgary,235,2014,2018,NA,4,NA,NA,NA,NA,NA, 2014 to 2018,5,142,7,20.29,28.4,37.53,1.53,3.6,4,NA,,5,3,1.14,2,22.55,4.75,6.35,11.18,1.28,12/8/21 5:01,5.36,0.29,99.3,100,1,2014,2018,142,3,2,1,0,2,before,assistant
100,Academia Sinica,Biodiversity Research Center,Associate Professor,Ryuji_Machida,1,m,non-Taiwan,Japan,The University of Tokyo,23,2003,2009,NA,6,NA,NA,NA,NA,NA, 2005 to 2009,8,288,16,18,36,70.8,2.95,3.38,6,10,4,8,5,1.57,6,21.45,4.63,5.27,15.84,1.62,12/1/21 3:22,4.42,0.38,99.7,100,0,2005,2009,288,6,3,2,0,3,before,assistant
101,National Taiwan University,Department of Bioenvironmental Systems Engineering,Assistant Professor,Sau-Wai_Yam,1,f,non-Taiwan,Hong Kong,The University of Hong Kong,22,2005,2008,NA,3,NA,NA,NA,NA,NA, 2004 to 2008,5,111,16,6.94,22.2,55.5,2.25,2.4,4,5,1,5,3,2,4,7.03,2.65,3.51,9.75,2,12/18/21 16:18,3.46,0.25,100,100,0,2005,2007,111,3,1,0,0,2,before,assistant
102,Academia Sinica,Institute of Molecular Biology,Assistant Professor,See-Yeun_Ting,1,m,non-Taiwan,USA,University of Wisconsin - Madison,75,2017,2021,NA,4,NA,NA,NA,NA,NA, 2017 to 2021,3,129,4,32.25,43,27.75,0.65,4.67,3,NA,,3,3,0.64,3,55.75,7.47,11.64,10.95,0.65,12/13/21 3:25,6.93,0.75,100,100,2,2017,2020,129,3,3,3,2,3,before,assistant
